,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p31073,0.008516169065201126,0.0011853477400094424,2.7010364016780336e-05,0.2218817111388739,7.482324796133606e-07,8.146745780421747e-05,9.063463241106698e-05,0.7224144176418364,0.04580249372736746
p31067,0.052143910159698714,0.006736634496668216,0.00015443585837608125,0.047464029559171964,4.3142875433547846e-06,1.7610497714644762e-05,0.0005034588573429572,0.8289579472237902,0.06401765905969384
p31047,0.008571090260460318,0.0010813615483369942,2.9050986864149222e-05,0.22454111510643243,7.959130256400053e-07,8.669070745737159e-05,8.178531067050572e-05,0.7305862082865526,0.035021901880199845
p31005,0.003424987792894174,0.0002915526830001154,9.964646176104918e-06,0.37281043117238627,2.8765873523221047e-07,0.000207814353480525,2.1989530039315026e-05,0.6065489965920657,0.016683975571222604
p31085,0.003688639899682205,0.0005372753617934505,1.1894791979361183e-05,0.35576520295359343,3.2770921180545365e-07,0.00012878801491971885,4.1281612687212454e-05,0.6020299399985447,0.03779664965758816
p31097,0.06536145604419924,0.007813075109699343,0.00019662165939073975,0.038149855384292976,5.4938698220129164e-06,1.4398052487379623e-05,0.0005794416854728364,0.8300488887087264,0.05783076948590898
p31003,0.030298912873631675,0.0016987477473130838,9.776495399706111e-05,0.08819690470067959,2.8756071544952034e-06,5.664647581055559e-05,0.0001362708711335878,0.8647329027531786,0.014778974017101536
p31165,0.00158297923206331,7.182876449757107e-05,3.280574078612942e-06,0.45789497449513694,1.0922276137109472e-07,0.0005920893320616066,5.388468340682554e-06,0.5328482753823185,0.0070010745287413445
p31111,0.004601001647056661,0.0005768197195292996,1.6265340922775614e-05,0.32274268449288923,4.4238291908897083e-07,0.0001269349340378992,4.3747214231127954e-05,0.6450459531672484,0.02684615110116535
p31163,0.014173678875257204,0.001563885374060204,5.1619332404106046e-05,0.15611313597625065,1.4041840190627092e-06,6.41877837217498e-05,0.00011654557327201165,0.7988963217718767,0.029019221129138396
p31113,0.006711988327626334,0.0005985242976983234,2.154265458412632e-05,0.2732950791871804,6.09906605156868e-07,0.0001280460769801485,4.4788850036548046e-05,0.6998194275084254,0.019379993190863525
p31121,0.024420054182446464,0.0025833603169922938,8.777675484000031e-05,0.10073030662853942,2.397047566129868e-06,4.1219900162569646e-05,0.0001914011712618893,0.8401905317351789,0.031752952263012335
p31161,0.003491052863544976,0.00015454992436622435,7.560561033995777e-06,0.3744789030261217,2.463061419201857e-07,0.00035222152365919814,1.1498130077038082e-05,0.6134239259549226,0.008080041710132423
p31133,0.0653966936959263,0.00863831526879448,0.00019064166395837224,0.03659525487633338,5.3065908542833344e-06,1.419111269082007e-05,0.0006447147712379334,0.818493826363129,0.07002105565707553
p31153,0.0677067779822007,0.006274240479365007,0.00024102221326538134,0.03722207430305973,6.634680207445256e-06,1.572282863102124e-05,0.00046270243828220334,0.8543093784186362,0.03376144665635227
p31075,0.004216198543262217,0.00027922384196966537,1.1041010440409787e-05,0.3170910642905194,3.3161537918427384e-07,0.00024290766174366607,2.0925164801235914e-05,0.6642288861758823,0.013909421696001836
p31021,0.055109973093782405,0.004111291761531363,0.00023928473796391421,0.04060019905707465,6.570039535546912e-06,2.2690316420161114e-05,0.00035432726145437235,0.880109327845979,0.01944633588625863
p31155,0.051311689834395734,0.004809343569394549,0.00018791837082771817,0.049436127906126615,5.143399088949225e-06,2.1180650940609778e-05,0.00035452322516351146,0.862692032480442,0.031182040563620204
p31009,0.010638765705210565,0.0007294080833091364,3.1628415593017387e-05,0.20726130384232797,9.251817113605269e-07,0.00011509332855266881,5.404684435755195e-05,0.7650292268825012,0.01613960171643659
p31051,0.057740913084744,0.0023707205268501917,0.00018610186960130287,0.05316715576091204,5.629695245165229e-06,3.509150765432306e-05,0.00023211082680437046,0.8746027921123608,0.011659484615827874
p31167,0.037455750502624466,0.0028034310402629717,0.00015334083189005193,0.06220431422534111,4.300588118825261e-06,3.5031753885119584e-05,0.00022610934470086724,0.8786806039112129,0.01843711780196358
p31183,0.02153765854997016,0.0015305119538565114,7.374384156957325e-05,0.11589148739068722,2.110820643582022e-06,6.367295508278517e-05,0.00011284359258973239,0.8430684645360698,0.017719506359530537
p31061,0.014479707698345208,0.0021585824268141782,4.327996350752249e-05,0.14739022855282996,1.208673853927593e-06,5.272207140223192e-05,0.00016557539609084158,0.7719326891537456,0.06377600606341036
p31053,0.04860198806781835,0.004099856070535916,0.00019598361615558217,0.04931326773749696,5.308828268096365e-06,2.421394297664851e-05,0.00031560152495191147,0.8735042774219366,0.023939502789859922
p31029,0.002303723249474168,0.00034402635212889065,7.485346825973345e-06,0.4369087407317768,2.057288658981716e-07,0.00015683003126559827,2.6405854948228988e-05,0.5272483928009155,0.033004189903798914
p31019,0.013631507060714382,0.0016664716299433441,4.579465090565427e-05,0.16251694724557395,1.2583962422272977e-06,6.306068623427588e-05,0.00012535609489325544,0.7839884368085484,0.037961167426944616
p31059,0.03217426195903571,0.004008274333152564,9.998979702921453e-05,0.07810376330980925,2.7870966689069687e-06,2.9505716717648077e-05,0.0003002372087373693,0.8329868796049982,0.05229430097385104
p31185,0.03188566228483175,0.0035651196411198892,0.00010646868818336928,0.08015668704923434,2.940317010273812e-06,3.158867491202832e-05,0.00026471134756445464,0.8437099887377706,0.04027683325937307
p31159,0.040856698421417585,0.0044274223175758045,0.00013606620068046694,0.0634351194133336,3.7648189654890387e-06,2.5099040158327562e-05,0.00032767744280140504,0.8501842093564796,0.04060394298858748
p31035,0.024933575363636586,0.0031890050856639473,7.778024141550895e-05,0.09810383513564838,2.1661109989041126e-06,3.6861840750962344e-05,0.0002397673133711364,0.8218325602400595,0.05158444866845492
