,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p111,0.4817589955830187,0.0601082784855095,0.23751395426303265,1.2836267537668508e-05,0.006634875222784503,9.276097223393044e-09,0.20645576874582777,0.006183839663490624,0.0013314424927013473
p112,0.484088640089322,0.16296726137668552,0.14292221913046302,1.744778706069736e-05,0.0036953954350527384,1.0332881614183202e-08,0.19468187625489378,0.008217131865401997,0.003410017728238567
p113,0.4805331591497054,0.27041564845843347,0.076398819001292,2.9940027517773157e-05,0.0018924466068625497,1.576953480132173e-08,0.148350391240233,0.015739286985928694,0.006640292760492269
p114,0.4149244065384486,0.3659022923205943,0.05260937060997364,2.8140371411792765e-05,0.0012307655250807315,1.4534454709776854e-08,0.13868260702629537,0.018232711134924147,0.008389691938816678
p115,0.26440148238838646,0.04943809323189754,0.3920562932032898,3.1085267194061447e-06,0.014402985617277072,2.1569794449616242e-09,0.27752062236468955,0.0015355434114021778,0.000641869099358671
p116,0.21952661973412704,0.10928245351668107,0.2265309044168065,3.1866535320835004e-06,0.00906677273381688,1.6887904300418195e-09,0.43177351077077786,0.0024717099287268093,0.0013448405567413058
p117,0.2406918635299456,0.26602597098566766,0.087701732031738,5.630798947368211e-06,0.0028126434892204346,3.4855750225706912e-09,0.3934507151883961,0.005901482375549132,0.0034099581149607252
p118,0.1315507051808001,0.2880653999772895,0.06239788217514789,3.9644379852769964e-06,0.0034261684725042565,2.7581262086619693e-09,0.5062270796554984,0.005036218464175145,0.0032925788784731996
p119,0.1574044954515164,0.02150207513371696,0.5916626249376652,2.2578800792811754e-06,0.0620433680884752,1.7317914717626644e-09,0.16607439683535022,0.001025116590556177,0.00028566335084917645
p12,1.8282760350071194e-06,2.4241601418866215e-07,3.941879599023868e-09,0.82660431441053,1.2370557055985393e-10,0.17220448421033097,1.742995630777953e-08,0.0008612738276393831,0.00032783536390895083
p120,0.10021119682730666,0.026712491372557892,0.448683950080437,1.1626955929648563e-06,0.041318455802534494,8.007284997670109e-10,0.3821291601585889,0.000618794547612517,0.0003247877146411217
p121,0.11264566259246718,0.03604613062097024,0.38246899907997867,1.343561071697024e-06,0.028819901366174402,8.534522472457066e-10,0.438757644704682,0.0008212546142393344,0.00043906260696426226
p122,0.11013105524919264,0.018908077499760388,0.5696862017094022,1.4751995911238171e-06,0.08125907518176399,1.1118157592686957e-09,0.219086809161174,0.0006890813448053125,0.00023822354249449602
p123,0.04726195658907503,0.02159830406189118,0.30316997343589774,5.701156713499569e-07,0.06334500766052402,3.522820199845851e-10,0.5639465279144014,0.0004309657708783026,0.00024669409937890625
p124,0.02747294336113215,0.02250661425074373,0.22923804008852905,3.706054496383722e-07,0.0391102970614644,2.2001786358474126e-10,0.6810414994278103,0.0003867425353040023,0.00024349244954900126
p125,0.02654357544905124,0.01160851203234829,0.38792590482903294,3.1700475899958093e-07,0.0774227350079516,2.055370182721185e-10,0.49613623935743667,0.0002305616637720586,0.0001321544501110526
p126,0.0207858715147905,0.005264435476097681,0.47672430249361286,2.5965127178219144e-07,0.20769512796348774,1.9521888284108651e-10,0.28934226568216553,0.0001233417733153207,6.439525003967218e-05
p127,0.04739315798553789,0.004148062904143312,0.6823910009167704,1.0941715976582732e-06,0.20901282239259805,9.582040969812843e-10,0.05662685445062162,0.00036751164630904274,5.949457421797372e-05
p128,0.009474228731209941,0.0020470743690067647,0.4932465965164793,1.3872352725763875e-07,0.3856592154264312,1.1084619922209502e-10,0.10948681676548729,6.10274973076798e-05,2.4901859704167645e-05
p129,0.00751598963202589,0.0006451066307876743,0.40186436780802376,2.557061085038888e-07,0.5748664202696872,2.625030355786013e-10,0.015010305094046267,8.841705845841941e-05,9.137538359183534e-06
p13,1.0566981255358284e-06,5.923761121702409e-07,3.0251011569148207e-09,0.6157862904121174,8.353391521901238e-11,0.3822614060864373,3.8751061753865024e-08,0.0005207613157208404,0.0014298512517898743
p130,0.005785204496511715,0.0005696119156351076,0.2921222162611397,1.6777507066132094e-07,0.6835834895183691,1.6728021638125826e-10,0.017875491702440047,5.623954685365642e-05,7.578616699772211e-06
p131,0.007182221398368351,0.001009723817598608,0.29032914287343525,1.3949272055518248e-07,0.6574600439963201,1.2209562404181334e-10,0.0439562335183497,5.002780799546836e-05,1.2466973116273526e-05
p132,0.009446173563426388,0.001595841051772832,0.3640733545680224,1.600917192662442e-07,0.5512891340579456,1.3358832204161641e-10,0.07351194515334764,6.389265808179478e-05,1.9498722095773623e-05
p133,0.00551539315854087,0.0009489579251547188,0.35616611221809097,9.669507086710383e-08,0.5897244110829447,8.210433193782214e-11,0.04759601764020055,3.745809220715444e-05,1.1553105685974398e-05
p134,0.001632494142295862,0.00013616690655864126,0.11402466168754423,8.546267897913681e-08,0.880207797492579,1.2343010057412333e-10,0.00395606800247838,4.078938699779193e-05,1.9367954371561955e-06
p14,5.638982428534586e-06,4.442263809831751e-08,6.012587457416272e-09,0.5468184989398378,4.886524732154082e-10,0.4487180473698181,4.1445750165176175e-09,0.004447647703045197,1.0111936417463953e-05
p15,1.0993799407684139e-05,2.3680020453069796e-07,1.4634188072137732e-08,0.6971659850984314,7.580650439245106e-10,0.2956252842607442,1.7964498418621634e-08,0.007081168359392628,0.0001162983250679721
p16,4.213326132386275e-05,1.5446204206549305e-06,6.857449969066021e-08,0.893092444250218,2.8617060836133834e-09,0.0859230878934971,1.186485596471793e-07,0.02007126940879264,0.0008693304809822055
p17,3.57528816491279e-05,3.246855051566919e-07,3.951043594411365e-08,0.8183982311551066,2.815167195806146e-09,0.15685228750135652,2.936263667147033e-08,0.024649112515117873,6.421957302497466e-05
p18,0.00018043855260490676,1.1957389702298006e-06,1.9367054263379012e-07,0.8378077458194535,1.4716443111177548e-08,0.032882279440817015,1.2974734649637982e-07,0.1290107676232351,0.0001172346905868527
p19,0.0005596258399286133,2.3480792533243074e-06,5.818969806631358e-07,0.5528035501922373,4.9960326794429525e-08,0.004560463618304837,3.6461812944824955e-07,0.44198514659353305,8.786920130591033e-05
p2,8.642161378816578e-07,9.895308984476533e-09,9.555904667923071e-10,0.10389904874355538,7.049504345177842e-11,0.8954567278868075,7.611876365021178e-10,0.000638998278258341,4.3491926587607585e-06
p20,0.0004444839865123364,3.4304665341983484e-06,4.990947254302085e-07,0.7016418579061771,3.3170102956937925e-08,0.010982981209677502,3.578793596346603e-07,0.28665886200216967,0.00026749428474124654
p21,0.00020695548228907265,7.512641542294595e-06,3.5041885775713095e-07,0.9142993125121529,1.3846463450529224e-08,0.0174961325789177,5.720572365309574e-07,0.06525021494778631,0.0027389355147540285
p22,0.0007298400625413578,1.376917452892678e-05,1.0701518347705797e-06,0.7232574215002425,4.9466622047527046e-08,0.005196696078386778,1.0708352557320428e-06,0.26914990158277374,0.001650181147814093
p23,0.0014312896192361553,2.6227225568108095e-05,2.174133296191984e-06,0.6407534462936387,9.754142010771567e-08,0.002031793273729733,2.1543565663927085e-06,0.3538161254301744,0.0019366921263703212
p24,0.0007131765177008025,3.7891558871422665e-05,1.4614628103747791e-06,0.7078802738585757,4.866976512595373e-08,0.002201161302231953,2.887674924865806e-06,0.2802844012063728,0.008878697748746889
p25,1.8048854202358587e-05,3.947271662345427e-06,4.994798544802406e-08,0.9474724445628361,1.3818857427386599e-09,0.03635483195204542,2.8103297579295986e-07,0.010855854764861986,0.005294540231544665
p26,6.381434089058953e-05,7.2801405136557186e-06,1.5068082832241463e-07,0.936565484958202,4.516297165584858e-09,0.023025235848398183,5.644915423849501e-07,0.03305754465786961,0.007279920365458108
p27,1.9395730183742918e-06,1.3260414565811187e-06,5.561545616294158e-09,0.6716683435418439,1.5147479489979798e-10,0.3240980263750939,8.954319131709091e-08,0.000818214784618203,0.0034120544277573164
p28,4.3335899254418845e-06,5.227126283116717e-06,1.3530284443502888e-08,0.7967758801170783,3.4206091448227856e-10,0.1818447355786697,3.990072427052425e-07,0.002174269353593416,0.0191951413548619
p29,2.202105015717425e-05,2.026245158442926e-05,6.701182850830969e-08,0.8852775894920487,1.7234198920794555e-09,0.05294693378073907,1.3793415396690642e-06,0.01076152984784259,0.05097021530084012
p3,2.840717021025533e-06,2.1842040475699028e-08,3.003622722130043e-09,0.33666913816615235,2.561801023249755e-10,0.6610174159805607,2.0309522987963904e-09,0.0023050315169861465,5.546486484084946e-06
p30,1.8807661006372656e-06,4.6219506426434065e-06,6.659153258059125e-09,0.8325279536476617,1.6040082149975188e-10,0.13906917710311673,3.936290146799247e-07,0.0009291496710705472,0.027466816412838817
p31,5.952555218022809e-05,8.825056552441287e-05,2.0387400298803352e-07,0.7168524787443705,4.978029872969098e-09,0.008862913158620521,6.380043786456284e-06,0.029258438684898913,0.24487180439858627
p32,0.002620943269654296,4.7782736624045484e-05,4.131023706840832e-06,0.5137115729643513,1.761328973860756e-07,0.0006819032828406949,4.12208494921621e-06,0.4809380990213603,0.001991269483615912
p33,0.00034165084198109616,6.329860412871173e-05,1.097324779075195e-06,0.7394728309608778,3.0059630094848056e-08,0.00171502912831973,4.898809721995724e-06,0.21627166621507432,0.042129498055487394
p34,0.0003482379888349434,0.00012275187802783335,9.960143379100921e-07,0.7214770760899128,2.727039419093817e-08,0.0021711522645983103,8.556261042295555e-06,0.12139727916699758,0.15447392306585445
p35,0.0015900542592870671,7.237857346186136e-06,1.6820897953572964e-06,0.3744726050893191,1.2846634050171376e-07,0.002183885572024959,1.0801603592913157e-06,0.6215446107286668,0.00019871577686052182
p36,0.008486621329733327,2.863626820341455e-05,8.844341872433415e-06,0.16870178667062097,6.982507965823816e-07,0.0007088871779968735,5.513353067387546e-06,0.8217791655014526,0.0002798471062564887
p37,0.03281452624129293,6.354516514705941e-05,3.361410238457757e-05,0.05976303064890612,3.2203812838002137e-06,0.00019565010968417633,1.9370175619964378e-05,0.9069064214267302,0.00020062174895124095
p38,0.02226098521039434,0.00022884293680405215,3.332646490905236e-05,0.24425996945146167,1.5002573777034273e-06,0.00018828668497913094,2.760888689395515e-05,0.7309699301532608,0.002029549953919272
p39,0.0024186531700418758,0.00017944803892071276,6.315941725593559e-06,0.35464470278045435,1.883171459474227e-07,0.0003622558507001427,1.3571777704143414e-05,0.627086190624534,0.015288673498773286
p4,1.971405030371911e-06,1.77244010501821e-08,2.1169099083688748e-09,0.23297501972871112,1.7003655666992232e-10,0.7654706958376432,1.5279921764424323e-09,0.0015466960738452537,5.595415430479848e-06
p40,0.01291713874105855,0.001275553340181229,4.82301050376482e-05,0.1654834043192934,1.3298010041510783e-06,7.376185601865911e-05,9.463910063463482e-05,0.7972542044877432,0.022851738249028405
p41,0.06171918256346934,0.006114749286247685,0.00020962706268322625,0.041660275816389106,5.800638143798178e-06,1.6760184846864163e-05,0.0004507953820015597,0.8517437086234567,0.038079100442761554
p42,0.13254280655925846,0.0001242200924458844,0.0001305824688651448,0.012925394228598779,1.573086300824744e-05,3.7724343141222176e-05,6.868359393918129e-05,0.8540078459010716,0.00014701194967150282
p43,0.36424446601325267,0.000467265948860211,0.00038429797226964096,0.008301875571771375,2.947405911307486e-05,9.656754735989821e-06,0.00022039435965476187,0.625917616769367,0.00042495255097534736
p44,0.17713519373108125,0.0011110951260507494,0.0002694025009719787,0.03448078278774513,1.1802530030715491e-05,2.7326401337218015e-05,0.0001946644666435184,0.784465321570753,0.002304410885386513
p45,0.11111221728331368,0.004705894989204363,0.0004648685625170541,0.02080060848639766,1.3580966305959207e-05,1.374169818218926e-05,0.0005593609610208636,0.8503411351674086,0.011988591885649645
p46,0.647122025606863,0.001546096024347037,0.0014137287678873112,0.00318974430788912,9.134946577563666e-05,3.076435323182998e-06,0.0008150414962725778,0.3451512188471848,0.0006677190484573654
p47,0.0001121548774535591,0.0003349879996613739,4.7315768983355217e-07,0.3783870109311444,1.1064085811086697e-08,0.001421251716984704,2.7788122970311267e-05,0.030513245172914046,0.589203076957096
p48,0.0006068712911138816,0.0012508729409697987,2.497537426937987e-06,0.23731460910698632,5.9003585303994864e-08,0.0004928179438037245,8.320658555597398e-05,0.1199399436533765,0.6403091219371815
p49,0.0009419868418776243,0.0006833239974231677,3.0918342971023063e-06,0.27633520822051366,7.707495691240848e-08,0.00022295337102428648,4.2061923938078365e-05,0.3264974836685211,0.395273813067448
p5,9.431365118654328e-07,1.7603454181371173e-08,1.1552175725558227e-09,0.13808758089683787,6.839076034274924e-11,0.8612775669941358,1.3420712557931823e-09,0.000622719870069359,1.116893331123435e-05
p50,0.007346923427062369,0.015700394141808904,3.215093896157325e-05,0.04037611911176663,7.459455327287033e-07,4.721528308782821e-05,0.0008749807512211478,0.19567754446498323,0.7399439259355757
p51,0.02163426976077754,0.025809182736444093,9.260438645936255e-05,0.015447693069240443,2.1608873026722767e-06,1.306771660132231e-05,0.0017780159375306325,0.3387856468908328,0.5964373586148113
p52,0.002841216296951632,0.0007464270077292181,8.132107233369288e-06,0.3139425598954066,2.2185568333795827e-07,0.00015484201021103588,5.846091616136998e-05,0.5451521011068751,0.13709603880374838
p53,0.02100421541041828,0.006597445834144268,6.401584708797106e-05,0.05646432928571482,1.6596334728584686e-06,3.3389715776294486e-05,0.0005119724081116824,0.6852752321193036,0.23004773974597026
p54,0.1790595792082661,0.025196366584350295,0.0005134213800808553,0.009083824972679505,1.394320112902702e-05,4.167354013563233e-06,0.001859414594476716,0.7006872117284112,0.08358207097659276
p55,0.0816760231379234,0.052461169911146646,0.00033880621172254285,0.005156677292474935,8.023880907157817e-06,3.7400203780356578e-06,0.004100056753918394,0.5595119737173556,0.2967435290741732
p56,0.04017344927840763,0.09492921236652274,0.00019968725543534303,0.004261756479585844,4.614863591063328e-06,4.059524268997984e-06,0.005877687832526773,0.2657448717590902,0.5888046606405715
p57,0.009840688723560196,0.11345341516545228,5.662483774066172e-05,0.003647585423741716,1.3758465992777713e-06,7.613678086473261e-06,0.009856275944130988,0.04741756085577915,0.8157188595249093
p58,0.0034496945881170482,0.4042249712545171,3.772306042238188e-05,0.0002855416136005608,1.1174666900796454e-06,7.824920972494605e-07,0.03757484141900962,0.008637756837609303,0.5457875712679365
p59,1.5609168444226675e-05,7.715362686672769e-05,6.721875167121192e-08,0.5314063792680079,1.5603808936986132e-09,0.003561959305338404,6.553506255528369e-06,0.004615743660852265,0.46031653268510214
p6,2.333842437683713e-07,8.048507684755933e-09,3.2920293314474794e-10,0.17048786704828364,1.6007984462751105e-11,0.8293545384388533,6.182250971676018e-10,0.00014929180896440476,8.060307711306928e-06
p60,0.0008601918685031771,0.0035788269413222357,3.921282560334285e-06,0.10252331378123794,9.053003507603367e-08,0.00027438407562292694,0.00029508453608649115,0.05115856900695248,0.8413056179776793
